warna,tekstur,aroma,kematangan_fuzzy,kategori_kematangan
6,9,2,5.0,Setengah Matang
3,6,1,3.82,Setengah Matang
10,9,4,6.73,Matang
7,8,9,8.24,Matang
4,6,5,5.0,Setengah Matang
6,8,6,5.0,Setengah Matang
9,7,3,,Tidak Diketahui
2,1,6,3.27,Mentah
6,0,10,5.0,Setengah Matang
10,6,7,6.18,Setengah Matang
10,6,10,6.73,Matang
7,7,0,,Tidak Diketahui
4,4,5,5.0,Setengah Matang
3,2,7,,Tidak Diketahui
7,7,4,6.18,Setengah Matang
7,5,3,5.0,Setengah Matang
2,10,1,,Tidak Diketahui
5,2,5,5.0,Setengah Matang
4,0,5,5.0,Setengah Matang
1,2,10,,Tidak Diketahui
7,4,0,5.0,Setengah Matang
5,2,8,5.0,Setengah Matang
1,0,10,,Tidak Diketahui
4,4,5,5.0,Setengah Matang
0,9,2,,Tidak Diketahui
9,6,3,5.0,Setengah Matang
5,6,10,6.47,Setengah Matang
8,10,3,,Tidak Diketahui
0,8,2,,Tidak Diketahui
10,9,9,8.6,Matang
10,9,2,,Tidak Diketahui
9,2,2,,Tidak Diketahui
2,6,3,3.82,Setengah Matang
6,0,6,5.0,Setengah Matang
3,3,3,1.76,Mentah
8,3,8,,Tidak Diketahui
2,4,0,3.27,Mentah
4,6,7,6.18,Setengah Matang
2,6,6,5.0,Setengah Matang
6,10,1,5.0,Setengah Matang
4,3,7,5.0,Setengah Matang
8,6,0,5.0,Setengah Matang
6,10,10,6.73,Matang
1,2,8,,Tidak Diketahui
3,5,8,5.0,Setengah Matang
8,1,1,,Tidak Diketahui
1,9,6,5.0,Setengah Matang
9,8,9,8.44,Matang
8,4,2,5.0,Setengah Matang
9,5,6,5.0,Setengah Matang
4,3,9,5.0,Setengah Matang
1,10,8,,Tidak Diketahui
3,9,3,,Tidak Diketahui
6,6,0,5.0,Setengah Matang
7,8,1,,Tidak Diketahui
2,6,0,3.27,Mentah
0,0,4,3.27,Mentah
3,0,4,3.82,Setengah Matang
1,8,10,,Tidak Diketahui
7,10,6,6.18,Setengah Matang
3,8,8,,Tidak Diketahui
1,3,8,,Tidak Diketahui
5,8,2,5.0,Setengah Matang
5,2,2,5.0,Setengah Matang
9,6,2,5.0,Setengah Matang
3,5,3,4.03,Setengah Matang
5,7,7,5.97,Setengah Matang
1,10,5,5.0,Setengah Matang
9,8,7,8.24,Matang
1,4,0,3.27,Mentah
9,0,7,,Tidak Diketahui
3,2,3,1.76,Mentah
7,9,10,8.24,Matang
6,7,0,5.0,Setengah Matang
8,10,7,8.24,Matang
7,5,3,5.0,Setengah Matang
4,7,5,5.0,Setengah Matang
1,8,7,,Tidak Diketahui
4,3,3,5.0,Setengah Matang
7,0,2,,Tidak Diketahui
9,0,8,,Tidak Diketahui
8,9,2,,Tidak Diketahui
8,3,8,,Tidak Diketahui
0,6,1,3.27,Mentah
8,1,1,3.27,Mentah
6,2,1,5.0,Setengah Matang
8,0,5,5.0,Setengah Matang
7,4,2,5.0,Setengah Matang
0,0,8,,Tidak Diketahui
7,7,3,,Tidak Diketahui
7,0,0,,Tidak Diketahui
10,10,3,,Tidak Diketahui
2,0,0,1.56,Mentah
0,1,4,3.27,Mentah
7,1,3,,Tidak Diketahui
2,5,7,5.0,Setengah Matang
2,6,7,5.0,Setengah Matang
0,4,6,5.0,Setengah Matang
10,0,2,,Tidak Diketahui
4,0,0,5.0,Setengah Matang
